,Unnamed: 0,total_pers,cod_dpto,departamento,cod_prov,provincia,cod_dist,distrito,num_hog,pob_total
0,827,985,15,LIMA,1501,LIMA,150138,SANTA MARIA DEL MAR,300,999
1,841,33893,15,LIMA,1501,LIMA,150109,CIENEGUILLA,9623,34684
2,842,88381,15,LIMA,1501,LIMA,150119,LURIN,23865,89195
3,843,109003,15,LIMA,1501,LIMA,150123,PACHACAMAC,30335,110071
4,848,14486,15,LIMA,1501,LIMA,150124,PUCUSANA,4377,14891
5,852,330190,15,LIMA,1501,LIMA,150106,CARABAYLLO,86847,333045
6,853,15596,15,LIMA,1501,LIMA,150126,PUNTA HERMOSA,5730,15874
7,854,6783,15,LIMA,1501,LIMA,150127,PUNTA NEGRA,2032,7074
8,855,7239,15,LIMA,1501,LIMA,150129,SAN BARTOLO,2148,7482
9,954,325718,15,LIMA,1501,LIMA,150125,PUENTE PIEDRA,87287,329675
10,955,350551,15,LIMA,1501,LIMA,150133,SAN JUAN DE MIRAFLORES,89347,355219
11,956,325101,15,LIMA,1501,LIMA,150140,SANTIAGO DE SURCO,100585,329152
12,957,389331,15,LIMA,1501,LIMA,150142,VILLA EL SALVADOR,94779,393254
13,959,56633,15,LIMA,1501,LIMA,150102,ANCON,17454,62928
14,960,593014,15,LIMA,1501,LIMA,150103,ATE,164985,599196
15,961,41746,15,LIMA,1501,LIMA,150107,CHACLACAYO,11233,42912
16,962,308114,15,LIMA,1501,LIMA,150108,CHORRILLOS,82969,314241
17,963,393360,15,LIMA,1501,LIMA,150143,VILLA MARIA DEL TRIUNFO,103277,398433
18,964,645313,15,LIMA,1501,LIMA,150135,SAN MARTIN DE PORRES,176653,654083
19,965,514358,15,LIMA,1501,LIMA,150110,COMAS,132726,520450
20,966,196285,15,LIMA,1501,LIMA,150111,EL AGUSTINO,51766,198862
21,967,139654,15,LIMA,1501,LIMA,150114,LA MOLINA,40245,140679
22,968,322115,15,LIMA,1501,LIMA,150117,LOS OLIVOS,89749,325884
23,969,237119,15,LIMA,1501,LIMA,150118,LURIGANCHO,66221,240814
24,970,97322,15,LIMA,1501,LIMA,150122,MIRAFLORES,37626,99337
25,971,71530,15,LIMA,1501,LIMA,150113,JESUS MARIA,23794,75359
26,972,54119,15,LIMA,1501,LIMA,150116,LINCE,18193,54711
27,973,59059,15,LIMA,1501,LIMA,150120,MAGDALENA DEL MAR,19239,60290
28,974,27581,15,LIMA,1501,LIMA,150139,SANTA ROSA,8649,27863
29,976,82756,15,LIMA,1501,LIMA,150121,PUEBLO LIBRE,26407,83323
30,980,111015,15,LIMA,1501,LIMA,150130,SAN BORJA,34940,113247
31,983,51017,15,LIMA,1501,LIMA,150134,SAN LUIS,14619,52082
32,984,152265,15,LIMA,1501,LIMA,150136,SAN MIGUEL,46210,155384
33,986,194220,15,LIMA,1501,LIMA,150137,SANTA ANITA,55636,196214
34,990,88951,15,LIMA,1501,LIMA,150141,SURQUILLO,29262,91023
35,991,83048,15,LIMA,1501,LIMA,150105,BREÃ‘A,25494,85309
36,992,172017,15,LIMA,1501,LIMA,150128,RIMAC,48540,174785
37,993,209079,15,LIMA,1501,LIMA,150112,INDEPENDENCIA,54293,211360
38,994,1012181,15,LIMA,1501,LIMA,150132,SAN JUAN DE LURIGANCHO,274168,1038495
39,995,59872,15,LIMA,1501,LIMA,150131,SAN ISIDRO,21073,60735
40,996,169717,15,LIMA,1501,LIMA,150115,LA VICTORIA,51132,173630
41,997,33818,15,LIMA,1501,LIMA,150104,BARRANCO,11477,34378
42,1871,261864,15,LIMA,1501,LIMA,150101,LIMA,78665,268352
