,id_ubigeo,departamento,provincia,distrito,region,altitud,latitud,longitud,porcentaje_AB
1280,1281,LIMA,LIMA,LIMA,LIMA PROVINCIA,162.0,-12.0453,-77.0308,0.0
1281,1282,LIMA,LIMA,ANCON,LIMA PROVINCIA,14.0,-11.7739,-77.1764,0.0
1282,1283,LIMA,LIMA,ATE,LIMA PROVINCIA,378.0,-12.0264,-76.9214,0.0
1283,1284,LIMA,LIMA,BARRANCO,LIMA PROVINCIA,97.0,-12.1492,-77.0217,0.0
1284,1285,LIMA,LIMA,BREÃ‘A,LIMA PROVINCIA,153.0,-12.0589,-77.0461,0.0
1285,1286,LIMA,LIMA,CARABAYLLO,LIMA PROVINCIA,238.0,-11.8903,-77.0269,0.0
1286,1287,LIMA,LIMA,CHACLACAYO,LIMA PROVINCIA,685.0,-11.9753,-76.7689,0.0
1287,1288,LIMA,LIMA,CHORRILLOS,LIMA PROVINCIA,68.0,-12.1769,-77.0164,0.0
1288,1289,LIMA,LIMA,CIENEGUILLA,LIMA PROVINCIA,287.0,-12.1203,-76.8142,0.0
1289,1290,LIMA,LIMA,COMAS,LIMA PROVINCIA,107.0,-11.9572,-77.0494,0.0
1290,1291,LIMA,LIMA,EL AGUSTINO,LIMA PROVINCIA,200.0,-12.0483,-77.0006,0.0
1291,1292,LIMA,LIMA,INDEPENDENCIA,LIMA PROVINCIA,111.0,-11.9972,-77.0547,0.0
1292,1293,LIMA,LIMA,JESUS MARIA,LIMA PROVINCIA,142.0,-12.0756,-77.0433,0.0
1293,1294,LIMA,LIMA,LA MOLINA,LIMA PROVINCIA,262.0,-12.0781,-76.9167,0.0
1294,1295,LIMA,LIMA,LA VICTORIA,LIMA PROVINCIA,142.0,-12.065,-77.0308,0.0
1295,1296,LIMA,LIMA,LINCE,LIMA PROVINCIA,150.0,-12.0844,-77.0303,0.0
1296,1297,LIMA,LIMA,LOS OLIVOS,LIMA PROVINCIA,67.0,-11.9914,-77.0708,0.0
1297,1298,LIMA,LIMA,LURIGANCHO,LIMA PROVINCIA,879.0,-11.9358,-76.6972,0.0
1298,1299,LIMA,LIMA,LURIN,LIMA PROVINCIA,12.0,-12.2747,-76.8703,0.0
1299,1300,LIMA,LIMA,MAGDALENA DEL MAR,LIMA PROVINCIA,90.0,-12.0917,-77.0672,0.0
1300,1301,LIMA,LIMA,PUEBLO LIBRE,LIMA PROVINCIA,114.0,-12.0781,-77.0625,0.0
1301,1302,LIMA,LIMA,MIRAFLORES,LIMA PROVINCIA,125.0,-12.1217,-77.0292,0.0
1302,1303,LIMA,LIMA,PACHACAMAC,LIMA PROVINCIA,68.0,-12.1872,-76.8667,0.0
1303,1304,LIMA,LIMA,PUCUSANA,LIMA PROVINCIA,26.0,-12.4817,-76.7975,0.0
1304,1305,LIMA,LIMA,PUENTE PIEDRA,LIMA PROVINCIA,187.0,-11.8667,-77.0769,0.0
1305,1306,LIMA,LIMA,PUNTA HERMOSA,LIMA PROVINCIA,52.0,-12.3336,-76.8242,0.0
1306,1307,LIMA,LIMA,PUNTA NEGRA,LIMA PROVINCIA,42.0,-12.3653,-76.7956,0.0
1307,1308,LIMA,LIMA,RIMAC,LIMA PROVINCIA,153.0,-12.0422,-77.0269,0.0
1308,1309,LIMA,LIMA,SAN BARTOLO,LIMA PROVINCIA,25.0,-12.3892,-76.7808,0.0
1309,1310,LIMA,LIMA,SAN BORJA,LIMA PROVINCIA,170.0,-12.1072,-76.9989,0.0
1310,1311,LIMA,LIMA,SAN ISIDRO,LIMA PROVINCIA,195.0,-12.0978,-77.0272,0.0
1311,1312,LIMA,LIMA,SAN JUAN DE LURIGANCHO,LIMA PROVINCIA,222.0,-12.0297,-77.01,0.0
1312,1313,LIMA,LIMA,SAN JUAN DE MIRAFLORES,LIMA PROVINCIA,133.0,-12.1636,-76.9636,0.0
1313,1314,LIMA,LIMA,SAN LUIS,LIMA PROVINCIA,214.0,-12.0756,-76.9936,0.0
1314,1315,LIMA,LIMA,SAN MARTIN DE PORRES,LIMA PROVINCIA,138.0,-12.03,-77.0575,0.0
1315,1316,LIMA,LIMA,SAN MIGUEL,LIMA PROVINCIA,84.0,-12.0922,-77.0794,0.0
1316,1317,LIMA,LIMA,SANTA ANITA,LIMA PROVINCIA,285.0,-12.0439,-76.9714,0.0
1317,1318,LIMA,LIMA,SANTA MARIA DEL MAR,LIMA PROVINCIA,52.0,-12.4019,-76.7733,0.0
1318,1319,LIMA,LIMA,SANTA ROSA,LIMA PROVINCIA,72.0,-11.7872,-77.1569,0.0
1319,1320,LIMA,LIMA,SANTIAGO DE SURCO,LIMA PROVINCIA,107.0,-12.145,-77.005,0.0
1320,1321,LIMA,LIMA,SURQUILLO,LIMA PROVINCIA,125.0,-12.1186,-77.0217,0.0
1321,1322,LIMA,LIMA,VILLA EL SALVADOR,LIMA PROVINCIA,204.0,-12.2133,-76.9372,0.0
1322,1323,LIMA,LIMA,VILLA MARIA DEL TRIUNFO,LIMA PROVINCIA,210.0,-12.1625,-76.9436,0.0
